Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,3,18,1048576,1353.44,127.55,2416.08,1000
Broadcast,5,18,1,1.75,0.32,2.28,1000
Broadcast,5,18,2,1.74,0.31,2.29,1000
Broadcast,5,18,4,1.73,0.30,2.26,1000
Broadcast,5,18,8,1.77,0.30,2.32,1000
Broadcast,5,18,16,1.74,0.30,2.26,1000
Broadcast,5,18,32,2.06,0.38,2.68,1000
Broadcast,5,18,64,2.01,0.38,2.65,1000
Broadcast,5,18,128,2.87,0.54,3.90,1000
Broadcast,5,18,256,2.75,0.50,3.52,1000
Broadcast,5,18,512,2.65,0.48,3.36,1000
Broadcast,5,18,1024,3.18,0.55,4.17,1000
Broadcast,5,18,2048,4.53,0.65,6.14,1000
Broadcast,5,18,4096,7.20,0.74,10.06,1000
Broadcast,5,18,8192,11.09,0.88,16.12,1000
Broadcast,5,18,16384,22.41,5.81,29.86,1000
Broadcast,5,18,32768,38.61,9.92,50.89,1000
Broadcast,5,18,65536,70.96,18.43,92.74,1000
Broadcast,5,18,131072,137.18,34.06,178.32,1000
Broadcast,5,18,262144,269.25,62.02,352.28,1000
Broadcast,5,18,524288,518.30,108.87,676.51,1000
Broadcast,5,18,1048576,969.39,200.11,1278.34,1000
Broadcast,1,22,1,2.19,0.36,3.19,1000
Broadcast,1,22,2,2.25,0.40,3.27,1000
Broadcast,1,22,4,2.22,0.38,3.22,1000
Broadcast,1,22,8,2.19,0.34,3.24,1000
Broadcast,1,22,16,2.21,0.36,3.21,1000
Broadcast,1,22,32,2.38,0.38,3.55,1000
Broadcast,1,22,64,2.42,0.41,3.53,1000
Broadcast,1,22,128,4.83,0.57,8.47,1000
Broadcast,1,22,256,4.86,0.58,8.51,1000
Broadcast,1,22,512,5.03,0.61,8.78,1000
Broadcast,1,22,1024,5.91,0.68,10.35,1000
Broadcast,1,22,2048,8.21,0.77,15.12,1000
Broadcast,1,22,4096,11.28,0.86,21.12,1000
Broadcast,1,22,8192,16.17,1.00,31.18,1000
Broadcast,1,22,16384,15.32,4.03,22.56,1000
Broadcast,1,22,32768,26.97,7.23,36.23,1000
Broadcast,1,22,65536,65.75,33.26,76.68,1000
Broadcast,1,22,131072,159.43,135.26,168.98,1000
Broadcast,1,22,262144,324.68,288.66,344.76,1000
Broadcast,1,22,524288,564.42,410.74,625.40,1000
Broadcast,1,22,1048576,1136.46,886.95,1234.36,1000
Broadcast,2,22,1,1.81,0.60,2.96,1000
Broadcast,2,22,2,1.77,0.59,2.88,1000
Broadcast,2,22,4,1.78,0.58,2.91,1000
Broadcast,2,22,8,1.76,0.60,2.86,1000
Broadcast,2,22,16,1.76,0.59,2.86,1000
Broadcast,2,22,32,2.02,0.68,3.28,1000
Broadcast,2,22,64,2.04,0.68,3.33,1000
Broadcast,2,22,128,2.68,0.73,3.93,1000
Broadcast,2,22,256,2.65,0.76,3.82,1000
Broadcast,2,22,512,2.81,0.80,3.95,1000
Broadcast,2,22,1024,3.21,0.90,4.55,1000
Broadcast,2,22,2048,4.02,0.95,5.97,1000
Broadcast,2,22,4096,5.31,1.09,8.16,1000
Broadcast,2,22,8192,8.36,1.43,13.28,1000
Broadcast,2,22,16384,17.07,6.62,23.24,1000
Broadcast,2,22,32768,27.56,10.15,37.40,1000
Broadcast,2,22,65536,50.99,21.95,66.92,1000
Broadcast,2,22,131072,101.30,53.38,129.83,1000
Broadcast,2,22,262144,218.34,127.55,290.07,1000
Broadcast,2,22,524288,436.05,236.14,595.44,1000
Broadcast,2,22,1048576,811.35,402.91,1153.49,1000
Broadcast,3,22,1,3.85,0.22,6.90,1000
Broadcast,3,22,2,3.84,0.23,6.87,1000
Broadcast,3,22,4,3.82,0.23,6.82,1000
Broadcast,3,22,8,3.82,0.22,6.82,1000
Broadcast,3,22,16,3.83,0.22,6.85,1000
Broadcast,3,22,32,4.20,0.24,7.48,1000
Broadcast,3,22,64,4.20,0.24,7.56,1000
Broadcast,3,22,128,5.03,0.30,8.77,1000
Broadcast,3,22,256,5.22,0.30,9.11,1000
Broadcast,3,22,512,5.28,0.31,9.52,1000
Broadcast,3,22,1024,6.10,0.31,11.15,1000
Broadcast,3,22,2048,7.44,0.35,13.87,1000
Broadcast,3,22,4096,9.31,0.40,17.69,1000
Broadcast,3,22,8192,13.18,0.47,25.36,1000
Broadcast,3,22,16384,42.05,2.82,77.31,1000
Broadcast,3,22,32768,64.29,3.97,118.18,1000
Broadcast,3,22,65536,108.36,6.44,199.50,1000
Broadcast,3,22,131072,206.81,13.28,379.62,1000
Broadcast,3,22,262144,408.52,29.75,745.41,1000
Broadcast,3,22,524288,826.18,62.89,1504.80,1000
Broadcast,3,22,1048576,1614.73,128.44,2935.19,1000
Broadcast,5,22,1,1.85,0.40,2.49,1000
Broadcast,5,22,2,1.82,0.40,2.45,1000
Broadcast,5,22,4,1.83,0.40,2.46,1000
Broadcast,5,22,8,1.83,0.40,2.46,1000
Broadcast,5,22,16,1.84,0.40,2.47,1000
Broadcast,5,22,32,2.08,0.44,2.73,1000
Broadcast,5,22,64,2.15,0.45,2.83,1000
Broadcast,5,22,128,2.69,0.53,3.86,1000
Broadcast,5,22,256,2.71,0.55,3.88,1000
Broadcast,5,22,512,2.93,0.55,4.04,1000
Broadcast,5,22,1024,3.35,0.58,4.62,1000
Broadcast,5,22,2048,4.76,0.66,6.47,1000
Broadcast,5,22,4096,7.72,0.76,10.52,1000
