ntasks,global_data_size,parallel_time,serial_time
122,10000000,0.160267,2.101063
122,10000000,0.158549,2.038071
122,10000000,0.159924,2.035562
122,10000000,0.158208,2.038849
124,10000000,0.160504,2.038989
124,10000000,0.182871,2.037927
124,10000000,0.163450,2.095797
124,10000000,0.162933,2.041269
124,10000000,0.161330,2.041125
124,10000000,0.166726,2.036665
124,10000000,0.161500,2.035800
124,10000000,0.160345,2.039118
124,10000000,0.161898,2.039419
124,10000000,0.162631,2.055735
126,10000000,0.159963,2.039731
126,10000000,0.160190,2.039443
126,10000000,0.160863,2.036763
126,10000000,0.160881,2.040450
126,10000000,0.160187,2.149047
126,10000000,0.159991,2.060564
126,10000000,0.160058,2.156813
126,10000000,0.159968,2.041216
126,10000000,0.165347,2.038338
126,10000000,0.160095,2.071945
128,10000000,0.210543,2.043694
128,10000000,0.223891,2.041853
128,10000000,0.233662,2.039240
128,10000000,0.220673,2.042876
128,10000000,0.210511,2.046536
128,10000000,0.212726,2.048080
128,10000000,0.211518,2.068202
128,10000000,0.211795,2.125648
128,10000000,0.216052,2.167526
128,10000000,0.213779,2.096745
130,10000000,0.224606,2.043020
130,10000000,0.210707,2.077949
130,10000000,0.228903,2.130794
130,10000000,0.225677,2.044693
130,10000000,0.239150,2.081536
130,10000000,0.223868,2.063533
130,10000000,0.222533,2.041383
130,10000000,0.233279,2.031616
130,10000000,0.219847,2.044328
130,10000000,0.221233,2.067595
132,10000000,0.237336,2.073169
132,10000000,0.221649,2.040574
132,10000000,0.221772,2.163469
132,10000000,0.239966,2.029312
132,10000000,0.173883,2.038780
132,10000000,0.223914,2.050711
132,10000000,0.243542,2.036921
132,10000000,0.232678,2.042628
132,10000000,0.239783,2.033220
132,10000000,0.220010,2.040906
134,10000000,0.226478,2.039740
134,10000000,0.223658,2.038787
134,10000000,0.234826,2.038576
134,10000000,0.226876,2.039296
134,10000000,0.227706,2.088048
134,10000000,0.240725,2.031785
134,10000000,0.217183,2.077731
134,10000000,0.228082,2.046238
134,10000000,0.233259,2.057108
134,10000000,0.246956,2.036337
136,10000000,0.223171,2.040812
136,10000000,0.231968,2.039431
136,10000000,0.229947,2.059684
136,10000000,0.245176,2.047478
136,10000000,0.185974,2.041022
136,10000000,0.225659,2.039546
136,10000000,0.229410,2.178651
136,10000000,0.218284,2.035774
136,10000000,0.230165,2.083171
136,10000000,0.231590,2.044645
138,10000000,0.181121,2.045362
138,10000000,0.229680,2.042205
138,10000000,0.172877,2.050066
138,10000000,0.232184,2.040073
138,10000000,0.177965,2.044507
